line_number,field,reason,record
6,transaction_type,"Invalid transaction_type 'BITCOIN_SWAP', allowed values are TRANSFER, CARD_PAYMENT, CASH_WITHDRAWAL, ONLINE_PURCHASE, DIRECT_DEBIT",2026-07-11 07:52:14 | T1028 | A80512 | BITCOIN_SWAP | 300.00 | Brisbane | APPROVED
12,amount,Amount 'abc' is not numeric,2026-07-11 09:41:36 | T1029 | A80512 | TRANSFER | abc | Brisbane | APPROVED
14,amount,Amount -50.00 must be greater than zero,2026-07-11 10:33:07 | T1030 | A80512 | TRANSFER | -50.00 | Brisbane | APPROVED
20,amount,Amount 0.00 must be greater than zero,2026-07-11 11:58:22 | T1031 | A80512 | CARD_PAYMENT | 0.00 | Brisbane | APPROVED
23,status,"Invalid status 'REJECTED', allowed values are APPROVED, DECLINED, PENDING",2026-07-11 14:19:05 | T1032 | A80512 | TRANSFER | 100.00 | Brisbane | REJECTED
25,record,Missing fields: expected 7 fields but found 6,2026-07-11 17:02:48 | T1033 | A80512 | TRANSFER | 100.00 | Brisbane
27,transaction_id,Transaction ID is empty,2026-07-11 19:26:31 |  | A80512 | TRANSFER | 100.00 | Brisbane | APPROVED
28,account_id,Account ID is empty,2026-07-12 08:14:52 | T1035 |  | TRANSFER | 100.00 | Brisbane | APPROVED
31,timestamp,"Invalid timestamp '12/07/2026 10:31:19', expected YYYY-MM-DD HH:MM:SS",12/07/2026 10:31:19 | T1036 | A80512 | TRANSFER | 100.00 | Brisbane | APPROVED
34,transaction_id,"Invalid Transaction ID 'TX999', expected the letter T followed by 4 digits",2026-07-12 12:03:44 | TX999 | A80512 | TRANSFER | 100.00 | Brisbane | APPROVED
35,account_id,"Invalid Account ID 'A8051', expected the letter A followed by 5 digits",2026-07-12 13:17:20 | T1038 | A8051 | TRANSFER | 100.00 | Brisbane | APPROVED
38,amount,Amount '100.123' has more than two decimal places,2026-07-12 15:48:09 | T1039 | A80512 | TRANSFER | 100.123 | Brisbane | APPROVED
39,location,Location is empty,2026-07-12 16:21:55 | T1040 | A80512 | TRANSFER | 100.00 |  | APPROVED
41,transaction_id,"Duplicate transaction ID 'T1001', already used on line 8",2026-07-12 18:40:12 | T1001 | A10025 | TRANSFER | 75.00 | Brisbane | APPROVED
42,transaction_type,"Inconsistent capitalisation in transaction_type 'transfer', expected 'TRANSFER'",2026-07-13 07:35:26 | T1042 | A10025 | transfer | 60.00 | Brisbane | approved
46,record,Additional fields: expected 7 fields but found 8,2026-07-13 11:12:38 | T1043 | A10025 | TRANSFER | 60.00 | Brisbane | APPROVED | EXTRA
48,record,Additional whitespace around the value 'A10025',2026-07-13 14:27:03 | T1044 | A10025  | TRANSFER | 60.00 | Brisbane | APPROVED
50,record,"Duplicate record, identical to line 5",2026-07-11 07:30:00 | T1015 | A40199 | DIRECT_DEBIT | 120.00 | Hobart | APPROVED
